Dado,Formato,Temos info?,Dado enviado para HubSpot?,Dado de Contato ou Empresa,Propriedade na Hubspot,Tempo do Dado,Prioridade de envio,Agrupamento,Observação Sabrina,Metabase
Avise-me automático ativo,Data,Sim,"Sim ",Empresa,aviseme_auto_ativo,D-1,Baixo,,,
Frete grátis ativo,Data,Sim,"Sim ",Empresa,frete_gratis_ativo,Tempo Real,Médio,,,
Tema Grátis,Flag,Sim,"Sim ",Empresa,tema_gratis,Tempo Real,Médio,,,
Tema Agência,Flag,Sim,"Sim ",Empresa,tema_agencia,Tempo Real,Médio,,,
Logo,Flag,Sim,"Sim ",Empresa,logo_da_loja,D-1,Médio,,,
GMV Mês atual,Número,Sim,"Sim ",Empresa,gmv_mes_atual,D-1,Essencial,,,
GMV 30D,Número,Sim,"Sim ",Empresa,gmv_30d,D-1,Médio,,,
GMV 60D,Número,Sim,"Sim ",Empresa,gmv_60_dias,D-1,Médio,,,
GMV 90D,Número,Sim,"Sim ",Empresa,gmv_90_dias,D-1,Médio,,,
Data ativação Enviali,Data,,"Sim ",Empresa,data_configuracao_do_enviali,D-1,Essencial,,,
Saldo disponível no Enviali,Número,Sim,"Sim ",Empresa,saldo_enviali,D-1,Médio,,,
Data da primeira emissão de etiqueta,Data,Sim,"Sim ",Empresa,data_da_primeira_etiqueta_enviali,Tempo Real,Médio,,,
Data da última emissão de etiqueta,Data,Sim,"Sim ",Empresa,data_da_ultima_emissao_de_etiqueta_enviali,Tempo Real,Médio,,,
"Etiquetas disponíveis ",Número,Sim,"Sim ",Empresa,etiquetas_disponiveis_enviali,Tempo Real,Médio,,,
ALLINTEGRA,Flag,Sim,"Sim ",Empresa,allintegra_ativo,D-1,Essencial,,,
Appmax - Cartao,Flag,Sim,"Sim ",Empresa,appmax_cartao,D-1,Médio,,,
Appmax - Boleto,Flag,Sim,"Sim ",Empresa,appmax_boleto,D-1,Médio,,,
Cielo - Cartao,Flag,Sim,"Sim ",Empresa,cielo_cartao,D-1,Médio,,,
Cielo - Boleto,Flag,Sim,"Sim ",Empresa,cielo_boleto,D-1,Médio,,,
